image_path,x1,y1,x2,y2
lines/1.png,26,52,57,6
lines/2.png,8,23,38,11
lines/3.png,36,17,53,34
lines/4.png,3,18,30,32
lines/5.png,28,47,32,34
lines/6.png,33,4,62,15
lines/7.png,31,26,62,20
lines/8.png,57,4,62,44
lines/9.png,45,50,55,35
lines/10.png,9,34,53,23
lines/11.png,51,39,52,51
lines/12.png,31,9,38,16
lines/13.png,12,41,29,27
lines/14.png,44,52,49,38
lines/15.png,31,49,62,2
lines/16.png,16,48,46,25
lines/17.png,42,44,54,51
lines/18.png,25,26,45,45
lines/19.png,36,24,37,47
lines/20.png,57,2,63,6
lines/21.png,52,30,53,61
lines/22.png,5,56,42,2
lines/23.png,15,30,42,42
lines/24.png,16,56,53,19
lines/25.png,16,37,49,63
lines/26.png,41,35,52,7
lines/27.png,52,56,61,36
lines/28.png,1,46,61,54
lines/29.png,60,62,61,36
lines/30.png,48,50,53,63
lines/31.png,32,50,54,60
lines/32.png,35,2,60,47
lines/33.png,53,41,63,2
lines/34.png,20,53,50,34
lines/35.png,20,46,39,6
lines/36.png,47,41,59,41
lines/37.png,45,27,48,12
lines/38.png,55,42,58,56
lines/39.png,1,24,12,35
lines/40.png,4,18,47,4
lines/41.png,28,60,37,37
lines/42.png,31,27,39,6
lines/43.png,23,22,30,0
lines/44.png,5,2,14,31
lines/45.png,12,19,25,35
lines/46.png,55,31,56,8
lines/47.png,49,46,52,14
lines/48.png,32,40,52,62
lines/49.png,41,20,57,33
lines/50.png,25,3,63,14
lines/51.png,54,52,59,46
lines/52.png,40,59,52,31
lines/53.png,62,53,63,7
lines/54.png,37,9,61,51
lines/55.png,25,41,55,50
lines/56.png,8,32,41,18
lines/57.png,38,12,53,44
lines/58.png,16,48,60,35
lines/59.png,22,53,57,24
lines/60.png,11,19,29,45
lines/61.png,9,57,20,11
lines/62.png,15,0,38,19
lines/63.png,16,33,29,35
lines/64.png,1,11,11,33
lines/65.png,25,14,52,14
lines/66.png,23,16,38,0
lines/67.png,19,52,47,57
lines/68.png,57,54,62,23
lines/69.png,9,22,60,1
lines/70.png,58,18,61,15
lines/71.png,41,49,59,49
lines/72.png,16,18,28,58
lines/73.png,53,7,56,36
lines/74.png,56,45,59,52
lines/75.png,26,54,34,46
lines/76.png,43,42,49,31
lines/77.png,39,16,59,38
lines/78.png,35,18,46,29
lines/79.png,4,9,35,27
lines/80.png,54,9,56,19
lines/81.png,54,38,63,27
lines/82.png,47,4,61,19
lines/83.png,2,19,19,53
lines/84.png,53,6,59,58
lines/85.png,45,8,63,60
lines/86.png,26,18,62,30
lines/87.png,20,43,63,24
lines/88.png,54,24,61,21
lines/89.png,4,36,14,21
lines/90.png,37,48,46,44
lines/91.png,50,23,57,27
lines/92.png,25,2,27,21
lines/93.png,48,54,59,47
lines/94.png,15,36,43,19
lines/95.png,19,31,37,17
lines/96.png,37,6,52,13
lines/97.png,41,58,62,40
lines/98.png,30,9,46,24
lines/99.png,9,42,25,12
lines/100.png,58,35,61,14
lines/101.png,57,51,63,31
lines/102.png,52,1,58,28
lines/103.png,58,58,63,23
lines/104.png,16,56,24,33
lines/105.png,19,42,46,7
lines/106.png,12,20,48,39
lines/107.png,47,12,55,22
lines/108.png,54,17,62,29
lines/109.png,18,52,54,46
lines/110.png,0,51,56,52
lines/111.png,49,61,58,47
lines/112.png,51,2,53,10
lines/113.png,40,44,42,60
lines/114.png,32,53,47,9
lines/115.png,41,34,48,9
lines/116.png,50,39,62,15
lines/117.png,5,53,23,2
lines/118.png,41,46,56,61
lines/119.png,19,59,43,62
lines/120.png,22,19,33,61
lines/121.png,60,45,62,34
lines/122.png,37,55,41,13
lines/123.png,10,5,17,17
lines/124.png,48,2,59,8
lines/125.png,53,47,60,59
lines/126.png,49,54,59,42
lines/127.png,21,13,60,31
lines/128.png,4,49,57,14
lines/129.png,40,32,44,30
lines/130.png,44,2,59,49
lines/131.png,53,34,58,16
lines/132.png,34,27,48,3
lines/133.png,29,20,30,14
lines/134.png,55,50,57,48
lines/135.png,17,26,50,32
lines/136.png,23,55,57,10
lines/137.png,0,8,37,3
lines/138.png,1,53,50,30
lines/139.png,9,11,46,49
lines/140.png,3,39,19,21
lines/141.png,26,40,58,23
lines/142.png,38,56,60,49
lines/143.png,16,49,23,29
lines/144.png,14,14,23,56
lines/145.png,7,33,39,29
lines/146.png,32,9,48,37
lines/147.png,28,18,38,60
lines/148.png,37,25,47,6
lines/149.png,1,48,19,20
lines/150.png,26,31,44,44
lines/151.png,7,53,22,1
lines/152.png,55,12,63,41
lines/153.png,61,59,63,0
lines/154.png,49,54,60,46
lines/155.png,18,52,43,40
lines/156.png,33,35,41,37
lines/157.png,1,41,46,20
lines/158.png,42,7,56,23
lines/159.png,17,35,26,25
lines/160.png,62,42,63,6
lines/161.png,5,41,9,54
lines/162.png,2,31,12,42
lines/163.png,26,0,48,33
lines/164.png,49,61,63,38
lines/165.png,25,23,53,36
lines/166.png,0,25,46,59
lines/167.png,20,34,38,35
lines/168.png,18,45,42,39
lines/169.png,19,15,22,22
lines/170.png,31,37,59,55
lines/171.png,39,2,58,46
lines/172.png,9,47,19,12
lines/173.png,0,42,3,56
lines/174.png,47,35,52,40
lines/175.png,34,17,39,45
lines/176.png,14,3,29,1
lines/177.png,56,53,57,15
lines/178.png,30,4,39,25
lines/179.png,58,60,60,45
lines/180.png,16,32,63,14
lines/181.png,9,45,16,31
lines/182.png,57,10,63,21
lines/183.png,43,48,46,8
lines/184.png,1,59,21,16
lines/185.png,61,16,62,22
lines/186.png,27,42,50,1
lines/187.png,33,57,36,44
lines/188.png,25,43,45,53
lines/189.png,20,12,62,25
lines/190.png,0,45,18,54
lines/191.png,61,53,62,46
lines/192.png,58,34,59,4
lines/193.png,48,24,49,19
lines/194.png,6,47,33,55
lines/195.png,47,27,50,18
lines/196.png,40,28,53,40
lines/197.png,33,36,40,18
lines/198.png,18,59,32,54
lines/199.png,10,8,42,27
lines/200.png,18,10,61,57
lines/201.png,6,54,32,34
lines/202.png,48,11,56,59
lines/203.png,42,13,46,48
lines/204.png,19,50,23,45
lines/205.png,40,30,57,40
lines/206.png,10,10,37,42
lines/207.png,57,3,62,1
lines/208.png,37,33,40,20
lines/209.png,25,12,60,36
lines/210.png,20,39,44,39
lines/211.png,31,57,55,55
lines/212.png,30,45,40,2
lines/213.png,7,6,59,20
lines/214.png,8,25,18,49
lines/215.png,30,9,44,6
lines/216.png,4,15,54,16
